DATA_FREE,CHECK_TIME,TABLE_ROWS,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,NODEGROUP,INDEX_LENGTH,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,AVG_ROW_LENGTH,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
0,NULL,2,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,32768,ccledu_next480,oc_ratelimit_entries,def,NULL,NULL,NULL,NULL,8192,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,0,ccledu_next480,oc_systemtag_group,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,32768,ccledu_next480,oc_notifications_settings,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,16384,ccledu_next480,oc_group_user,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,16384,ccledu_next480,oc_systemtag_object_mapping,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,98304,ccledu_next480,oc_mounts,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,16384,ccledu_next480,oc_circles_mountpoint,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,49152,ccledu_next480,oc_taskprocessing_tasks,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,49152,ccledu_next480,oc_circles_remote,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,16384,ccledu_next480,oc_ex_occ_commands,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,16384,ccledu_next480,oc_ex_apps_daemons,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,16384,ccledu_next480,oc_users,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,NULL,0,NULL,2024-11-01 06:27:28,16384,NULL,<blank>,16384,ccledu_next480,oc_ex_ui_states,def,NULL,NULL,NULL,NULL,0,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
